T,D,P,E
人,인(간),じん·にん/ひと,人
日,일,じつ·にち/か·ひ,日
月,월,がつ·げつ/つき,月
年,년,ねん/とし,干
行,(향)하다, 가다,ぎょう·こう·あん/いく·おこなう·ゆく,行
出,내다, 나가다,しゅつ·すい/だす·でる,凵
言,말하다, 말,げん·ごん/いう·こと,言
上,오르다, 위,じょう·しょう/あがる·あげる·うえ·うわ·かみ·のぼる·のぼす·のぼせる,一
話,이야기(하다),わ/はなし·はなす,言
見,보(이)다,けん/みえる·みせる·みる,見
続,계속[하/되]다,ぞく/つづく·つづける,糸
多,많다,た/おおい,夕
使,사용하다(쓰다),し/つかう,亻
受,받다,じゅ/うかる·うける,又
中,안,じゅう·ちゅう/なか,丨
入,들어가다, 넣다,にゅう/いる·いれる·はいる,入
考,생각하다,こう/かんがえる,耂
新,새로운,しん/あたらしい·あらた·にい,斤
大,큰, 크다,たい·だい/おお·おおいに·おおきい,大
何,무슨,か/なに·なん,亻
取,쥐다,しゅ/とる,又
高,높(이)다,こう/たか·たかい·たかまる·たかめる,高
子,애(, 아이),し·す/こ,子
国,국(가),こく/くに,口
歳,세(월),さい·せい/,止
思,생각,し/おもう,心
対,대(답),たい·つい/,寸
始,시작하(게되)다,し/はじまる·はじめる,女
作,만들다,さ·さく/つくる,亻
増,늘리(게되)다,ぞう/ふえる·ふやす·ます,土
約,약(속),やく/,糸
今,(지)금,こん·きん/いま,人
述,말하다(고하다),じゅつ/のべる,辶
調,조사하다, 갖추(어지)다,ちょう/しらべる·ととのう·ととのえる,言
少,적다, 조금,しょう/すくない·すこし,小
万,만,まん·ばん/,一
分,알(게되)다, 나누다, 가르다,ぶ·ふん·ぶん/わかつ·わかる·わかれる·わける,刀
車,자동차,しゃ/くるま,車
前,앞,ぜん/まえ,刂
起,일어나다, 일으키다,き/おきる·おこす·おこる,走
売,팔(리)다,ばい/うる·うれる,士
時,시(기), ~때,じ/とき,日
金,돈,きん·こん/かな·かね,金
亡,없다,ぼう·もう/ない,亠
州,주(행정구역),しゅう/す,川
来,오다,らい/くる·きたす·きたる,木
下,내리다, 아래,か·げ/おりる·おろす·くださる·くだす·くだる·さがる·さげる·した·しも·もと,一
決,정해지다, 정하다,けつ/きまる·きめる,氵
示,가리키다,じ·し/しめす,示
合,합치다, 더하다,かっ·がっ·ごう/あう·あわす·あわせる,口
男,남(성),だん·なん/おとこ,田
込,복잡하다,/こむ·こめる,辶
持,가지다,じ/もつ,扌
進,나아가(게 시키)다,しん/すすむ·すすめる,辶
引,인(력), 끌다,いん/ひく·ひける,弓
円,둥글다,えん/まるい,冂
強,강해지(게하)다,きょう·ごう/つよい·つよまる·つよめる·しいる,弓
明,밝다,みょう·めい/あかす·あからむ·あかり·あかるい·あかるむ·あきらか·あく·あくる·あける,日
初,(최)초, 처음,しょ/はじめ·はじめて·はつ·そめる·うい,刀
向,향하(게하)다,こう/むかう·むく·むける·むこう,口
同,같다,どう/おなじ,口
食,먹다,しょく·じき/くう·たべる·くらう,食
近,가깝다,きん/ちかい,辶
呼,부르다,こ/よぶ,口
位,~정도,い/くらい,亻
後,뒤, 나중,ご·こう/あと·うしろ·のち·おくれる,彳
氏,성(씨),し/うじ,氏
乗,(탑)승(하다),じょう/のせる·のる,丿
物,물건,ぶつ·もつ/もの,牛
広,넓(어지)다,こう/ひろい·ひろがる·ひろげる·ひろまる·ひろめる,广
次,다음, 뒤를 잇다,じ·し/つぎ·つぐ,欠
軍,군(대),ぐん/,車
開,열(리)다,かい/あく·あける·ひらく·ひらける,門
降,내리다,こう/おりる·おろす·ふる,阝左
伝,전하다,でん/つたう·つたえる·つたわる,亻
求,(요)구하다,きゅう/もとめる,氺
買,사다,ばい/かう,貝
水,물,すい/みず,水
家,집,か·け/いえ·や,宀
雨,비,う/あま·あめ,雨
億,억,おく/,亻
止,멈추(게하)다,し/とまる·とめる,止
間,사이,かん·けん/あいだ·ま,門
生,생,しょう·せい/いかす·いきる·いける·うまれる·うむ·なま·はえる·はやす·おう·き,生
集,모이다, 모으다,しゅう/あつまる·あつめる·つどう,隹
米,밥, 쌀,べい·まい/こめ,米
店,가게,てん/みせ,广
含,포함하다, 포함시키다,がん/ふくむ·ふくめる,口
回,돌(리)다,かい·え/まわす·まわる,口
代,대신하다,たい·だい/かえる·かわる·よ·しろ,亻
変,바꾸다, 바뀌다,へん/かえる·かわる,夂
住,살(게하)다,じゅう/すまう·すむ,亻
私,저,し/わたくし·わたし,禾
関,관(계,되다),かん/かかわる·せき,門
方,쪽, 편,ほう/かた,方
最,가장 ,さい/もっとも,日
知,알다,ち/しる,失
終,종(료)하다,しゅう/おえる·おわる,糸
打,치다,だ/うつ,扌
立,서다, 세우다,りつ·りゅう/たつ·たてる,立