T,D,P
表現,표현,ひょうげん
共感,공감,きょうかん
配慮,배려,はいりょ
正当,정당,せいとう
予備知識,예비 지식,よびちしき
再利用,재활용,さいりよう
時間,시간,じかん
文章,문장,ぶんしょう
現状,현상,げんじょう
分類,분류,ぶんるい
発達,발달,はったつ
必要,필요,ひつよう
日常的,일상적,にちじょうてき
本質,본질,ほんしつ
施行,시행,しこう
学習者,학습자,がくしゅうしゃ
明確,명확,めいかく
会話体,회화체,かいわたい
努力,노력,どりょく
評論文,평론,ひょうろんぶん
日本語勉強,일본어 공부,にほんごべんきょう
読解,독해,どっかい
質問,질문,しつもん
推測力,추측력,すいそくりょく
成果,성과,せいか
文型,문형,ぶんけい
相談,상담,そうだん
対話,대화,たいわ
表現例,표현예,ひょうげんれい
実践,실천,じっせん
慎重,신중,しんちょう
文学的,문학적,ぶんがくてき
補完,보완,ほかん
妥当,적절,だとう
構文,구문,こうぶん
効果的,효과적,こうかてき
学習量,학습량,がくしゅうりょう
蓄積,축적,ちくせき
構成要素,구성요소,こうせいようそ
毎日,매일,まいにち
該当,해당,がいとう
感情,감정,かんじょう
説明的,설명적,せつめいてき
抽象的,추상적,ちゅうしょうてき
補完的,보완적,ほかんてき
練習,연습,れんしゅう
推測,추측,すいそく
提案,제안,ていあん
予定,예정,よてい
今感,요즘(속어),いまかん
可能,가능,かのう
中間,중간,ちゅうかん
知識,지식,ちしき
実体経済,실물경제,じったいけいざい
学習,학습,がくしゅう
理解力,이해력,りかいりょく
施策,시책,しさく
長文,장문,ちょうぶん
状態,상태,じょうたい
訓練,훈련,くんれん
話題,화제,わだい
文体,문체,ぶんたい
構築,구축,こうちく
単語,단어,たんご
解決,해결,かいけつ
中盤,중반,ちゅうばん
機能,기능,きのう
排除,배제,はいじょ
正確,정확,せいかく
抽象,추상,ちゅうしょう
最初,최초,さいしょ
上限,상한,じょうげん
初級,초급,しょきゅう
読者,독자,どくしゃ
説明,설명,せつめい
意欲,의욕,いよく
準備,준비,じゅんび
受容,수용,じゅよう
概念,개념,がいねん
問題,문제,もんだい
今何,지금,いまなん
無理,무리,むり
整理,정리,せいり
方法,방법,ほうほう
構造,구조,こうぞう
時限,시한,じげん
会話,회화,かいわ
視点,시점,してん
最近,최근,さいきん
聴解,청해,ちょうかい
段階,단계,だんかい
本気,진심,ほんき
丁寧,정중,ていねい
面白,재미있음,おもしろい
空気,공기,くうき
一度,한 번,いちど
記事,기사,きじ
見出,제목,みだし
傾向,경향,けいこう
優先,우선,ゆうせん
能力,능력,のうりょく
原因,원인,げんいん
姿勢,자세,しせい
一緒,함께,いっしょ
目指,목표,めざし
成長,성장,せいちょう
述語,(서)술어,じゅつご
記録,기록,きろく
証拠,증거,しょうこ
勉強,공부,べんきょう
本当,진실,ほんとう
貴重,귀중,きちょう
情報,정보,じょうほう
非常,비상,ひじょう
現在,현재,げんざい
主語,주어,しゅご
一方,일방,いっぽう
結果,결과,けっか
間違,잘못,まちがい
景気,경기,けいき
見方,견해,みかた
確認,확인,かくにん
大切,중요한,たいせつ
直前,직전,ちょくぜん
経験,경험,けいけん
目標,목표,もくひょう
全体,전체,ぜんたい
語彙,어휘,ごい
不安,불안,ふあん
位置,위치,いち
自分,자신,じぶん
発展,발전,はってん
意識,의식,いしき
試験,시험,しけん
心配,걱정,しんぱい
表情,표정,ひょうじょう
展開,전개,てんかい
気持,감정,きもち
自体,자기,じたい
挑戦,도전,ちょうせん
単位,단위,たんい
前後,앞뒤,ぜんご
目安,기준,めやす
特徴,특징 특성,とくちょう
途中,중간,とちゅう
統一,통일,とういつ
意味,의미,いみ
部分,부분,ぶぶん
過程,과정,かてい
熱心,열심,ねっしん
都度,매번,つど
実際,실제,じっさい
理解,이해,りかい
言葉,말,ことば
相当,상당,そうとう
一部,일부,いちぶ
関係,관계,かんけい
内容,내용,ないよう
複文,복문,ふくぶん
有効,유효,ゆうこう
例文,예문,れいぶん
行動,행동,こうどう
修正,수정,しゅうせい
材料,재료,ざいりょう
自然,자연,しぜん
入口,입구,いりぐち
方向,방향,ほうこう
文末,문말,ぶんまつ
自信,자신(감),じしん
下手,서투름,へた
見直,재검토,みなおし
目的,목적,もくてき
大事,중요,だいじ
文法,문법,ぶんぽう
今日,오늘,きょう
馴染,익숙함,なじみ
一人,혼자,ひとり
実感,실감,じっかん
理由,이유,りゆう
特別,특별,とくべつ
一時,일시,いちじ
負担,부담,ふたん
十分,충분,じゅうぶん
重要,중요,じゅうよう
以外,이외,いがい
判断,판단,はんだん
解析,해석,かいせき
語尾,어미,ごび
孤独,고독,こどく
使用,사용,しよう
文脈,문맥,ぶんみゃく
語順,어순,ごじゅん
成立,성립,せいりつ
模索,모색,もさく
単純,단순,たんじゅん
用語,용어,ようご
以下,이하,いか
専門的,전문,せんもん
今見直,재검토,いまみなおし
方向性,방향성,ほうこうせい
直接的,직접,ちょくせつ
概念語,개념어,かいがいねんご
最近読,최근읽(은),さいきんどく
本質的,본질,ほんしつ
接続詞,접속사,せつぞくし
第一歩,첫걸음,だいいっぽ
論理的,논리,ろんり
能動的,능동,のうどう
読解力,독해력,どっかいりょく
抽象語,추상어,ちゅうしょうご
好奇心,호기심,こうきしん
分析文,분석문,ぶんせきぶん
丁寧体,존댓말,ていねいたい
難易度,난이도,なんいど
教科書,교과서,きょうかしょ
日本語,일본어,にほんご
最適化,최적화,さいてきか
補助的,보조,ほじょ
大丈夫,괜찮음,だいじょうぶ
一部含,일부(를)포(함),いちぶふく
達成感,성취감,たっせいかん
可能性,가능성,かのうせい
今日言,오늘,きょうげん
今日覚,오늘,きょうおぼ
結局始,결국시(작),けっきょくはじ
単語覚,단어암(기),たんごおぼ
文構造,문(장)구조,ぶんこうぞう
論理性,논리성,ろんりせい
対話用,대화용,たいわよう
不明確,불명확,ふめいかく
関係詞,관계사,かんけいし
正確性,정확성,せいかくせい
一番自然,가장자연(스러움),いちばんしぜん
長文構造,장문구조,ちょうぶんこうぞう
判断材料,판단재료,はんだんざいりょう
比較的短,비교적 짧(은),ひかくてきみじか
焦点語彙,초점어휘(중심어휘),しょうてんごい
日本語力,일본어능력,にほんごりょく
一生懸命,열심히,いっしょうけんめい
論理構造,논리구조,ろんりこうぞう
文法構造,문법구조,ぶんぽうこうぞう
最近一人,최근혼자,さいきんひとり
内容構造,내용구조,ないようこうぞう
抽象表現,추상표현,ちゅうしょうひょうげん
一語一語,단어 하나하나,いちごいちご
日本語学習者,일본어학습자,にほんごがくしゅうしゃ
論理的接続,논리적 연결,ろんりてきせつぞく